"year","media_score","desvio_padrao"
1992,4,NA
2000,19,NA
2002,41,NA
2004,251,65.0538238691624
2005,309,NA
2006,74.5,67.4512169398497
2007,119,NA
2008,3.75,2.21735578260835
2009,46.25,30.934069675144
2010,7.42857142857143,8.48247493084306
2011,33,31.4430702487315
2012,26.8571428571429,19.9618684114536
2013,16.25,31.0885831134196
2014,22.5,20.5060966544099
2015,45.4,80.7825613744837
2016,20.5,17.0606760319357
2017,40.3333333333333,35.3037241828177
2018,53.3243243243243,91.2636760083581
2019,50.72,76.2287737402744
2020,37.5079365079365,67.7200999446098
2021,26.0446927374302,40.0335282556518
2022,18.8151260504202,32.4684764707252
2023,9.49085365853658,16.518729297911
2024,4.87654320987654,9.6004108772033
2025,0.569204152249135,1.71330395942549
2026,0,0
