"title","year","citations","source_database","fascia"
"A Rainfall-Runoff Model With LSTM-Based Sequence-to-Sequence Learning",2020,555,"Lens (English); Scopus; Scopus (Filtered)","Núcleo A"
"A Brief Review of Random Forests for Water Scientists and Practitioners and Their Recent History in Water Resources",2019,502,"Lens (English)","Núcleo A"
"Deep Learning with a Long Short-Term Memory Networks Approach for Rainfall-Runoff Simulation",2018,475,"Lens (English); Scopus; Scopus (Filtered)","Núcleo A"
"Comparison of Several Flood Forecasting Models in Yangtze River",2005,309,"Lens (English); Scopus; Scopus (Filtered)","Núcleo B"
"Flood Detection and Susceptibility Mapping Using Sentinel-1 Remote Sensing Data and a Machine Learning Approach: Hybrid Intelligence of Bagging Ensemble Based on K-Nearest Neighbor Classifier",2020,303,"Lens (English)","Núcleo A"
"M5 Model Trees and Neural Networks: Application to Flood Forecasting in the Upper Reach of the Huai River in China",2004,297,"Lens (English); Scopus; Scopus (Filtered)","Núcleo B"
"Urban Flood Mapping Based on Unmanned Aerial Vehicle Remote Sensing and Random Forest Classifier—A Case of Yuyao, China",2015,267,"Lens (English)","Núcleo B"
"Research on particle swarm optimization in LSTM neural networks for rainfall-runoff simulation",2022,266,"Scopus; Scopus (Filtered)","Núcleo B"
"Assessment of urban flood susceptibility using semi-supervised machine learning model",2018,241,"Lens (English)","Núcleo A"
"Prediction Success of Machine Learning Methods for Flash Flood Susceptibility Mapping in the Tafresh Watershed, Iran",2019,239,"Lens (English)","Núcleo A"
"The role of deep learning in urban water management: A critical review.",2022,235,"Lens (English); Scopus; Scopus (Filtered)","Núcleo B"
"Use long short-term memory to enhance Internet of Things for combined sewer overflow monitoring",2018,231,"Scopus; Scopus (Filtered)","Núcleo B"
"Predicting flood susceptibility using LSTM neural networks",2021,227,"Scopus; Scopus (Filtered)","Núcleo A"
